"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3270,TOTAL PACKAGING SERVICES,SMERA BBB-,27-Mar-17,-,-,-,-,-,-,-,-,-,-
3271,TOURISM FINANCE CORPORATION OF INDIA LIMITED,SMERA AA,27-Jul-15,SMERA AA-,19-Oct-16,-,-,-,-,-,-,-,-
3272,TRADE PERFECTIONS,SMERA B/SMERA A4,10-Sep-15,SMERA B+,07-Nov-16,Indicative,31-Jan-18,-,-,-,-,-,-
3273,TRADE WINGS LIMITED,SMERA B-/SMERA A4,22-Mar-16,-,-,-,-,-,-,-,-,-,-
3274,TRANS HEALTH CARE INDIA PRIVATE LIMITED,SMERA B/SMERA A4,06-Oct-14,SMERA B+/SMERA A4,13-Jan-16,-,-,-,-,-,-,-,-
3275,TRAVEL MASTERS INDIA PRIVATE LIMITED,SMERA B,06-Mar-17,-,-,-,-,-,-,-,-,-,-
3276,TRAVELTIME CAR RENTAL PRIVATE LIMITED,SMERA BB+,15-Jan-15,SMERA BBB-,14-Jun-17,-,-,-,-,-,-,-,-
3277,TRELA OVERSEAS PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Jul-16,Indicative,16-Jan-18,-,-,-,-,-,-,-,-
3278,TREND SETTERS BOOKS LIMITED,SMERA B+,22-Jun-15,Suspended,24-Jun-16,-,-,-,-,-,-,-,-
3279,TREND SETTERS INTERNATIONAL,SMERA B+/SMERA A4,17-Jan-14,SMERA BB/SMERA A4+,11-Nov-14,SMERA BBB-/SMERA A3,03-Dec-15,-,-,-,-,-,-
3280,TRIDENT ENTERPRISE,SMERA BB+/SMERA A4+,09-Apr-15,SMERA BBB-/SMERA A3,16-May-16,Indicative,23-Sep-17,SMERA BB+/SMERA A4+,30-Nov-17,-,-,-,-
3281,TRIDENT TECHLABS PRIVATE LIMITED,SMERA BB-/SMERA A4+,21-Feb-18,-,-,-,-,-,-,-,-,-,-
3282,TRIDEV RESINS (INDIA) PRIVATE LIMITED,SMERA BBB-/SMERA A3,03-Feb-16,Indicative,12-May-17,-,-,-,-,-,-,-,-
3283,TRIE -VIZ INFRACON PRIVATE LIMITED,SMERA B+/SMERA A4,03-Nov-17,-,-,-,-,-,-,-,-,-,-
3284,TRIMURTI CORNS AGRO FOODS PRIVATE LIMITED,SMERA D,25-Feb-14,Suspended,18-Jun-15,-,-,-,-,-,-,-,-
3285,TRIMURTI STAMPINGS,SMERA BB/SMERA A4+,22-Mar-17,-,-,-,-,-,-,-,-,-,-
3286,TRIMURTY INDUSTRY,SMERA B+/SMERA A4,09-May-16,-,-,-,-,-,-,-,-,-,-
3287,TRIPURA STATE ELECTRICITY CORPORATION LIMITED,SMERA BBB,22-Apr-17,-,-,-,-,-,-,-,-,-,-
3288,TRISH IMPEX PRIVATE LIMITED,SMERA BB-/SMERA A4+,31-Dec-15,SMERA BB/SMERA A4+,26-Sep-16,-,-,-,-,-,-,-,-
3289,TRISHA TRENDS PRIVATE LIMITED,SMERA B,21-Dec-16,Indicative,08-Mar-18,-,-,-,-,-,-,-,-
3290,TRISTAR INTERMEDIATES PRIVATE LIMITED,SMERA BB+/SMERA A4+,24-Mar-15,SMERA BBB-/SMERA A3,15-Feb-18,-,-,-,-,-,-,-,-
3291,TRITRONICS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4,08-Jun-15,-,-,-,-,-,-,-,-,-,-
3292,TUBAS WIRE & CONDUCTOR PRIVATE LIMITED,SMERA B/SMERA A4,17-Feb-16,Indicative,16-May-17,-,-,-,-,-,-,-,-
3293,TUFFCELL BOARD PRIVATE LIMITED,SMERA B/SMERA A4,29-Apr-14,Suspended,28-Jul-15,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3294,TULASI POULTRY FARM,SMERA B,20-Oct-16,Indicative,09-Jan-18,-,-,-,-,-,-,-,-
3295,TULIP APPARELS PRIVATE LIMITED,SMERA BB,05-Feb-16,Indicative,12-May-17,-,-,-,-,-,-,-,-
3296,TULSI TRADING CORPORATION,SMERA BBB-,26-Dec-17,-,-,-,-,-,-,-,-,-,-
3297,TURBO RETAIL PRIVATE LIMITED,SMERA B/SMERA A4,17-Apr-14,SMERA BB-/SMERA A4+,24-Jul-15,Suspended,22-Oct-16,-,-,-,-,-,-
3298,U K FIN SERVICES LIMITED,SMERA BB,24-May-12,Withdrawn,03-May-13,-,-,-,-,-,-,-,-
3299,UBITECH PRIVATE LIMITED,SMERA BBB-/SMERA A3,07-Feb-18,-,-,-,-,-,-,-,-,-,-
3300,UDAY AUTOLINK PRIVATE LIMITED,SMERA B/SMERA A4,07-Feb-18,-,-,-,-,-,-,-,-,-,-
3301,UDUPI DEVELOPERS,SMERA B,16-Dec-16,"SMERA D(Indicative -Downgraded)",09-Mar-18,-,-,-,-,-,-,-,-
3302,UJWAL TRUST,SMERA BBB-,23-Mar-17,-,-,-,-,-,-,-,-,-,-
3303,ULTRA LIQUOR PRIVATE LIMITED,SMERA BB+,03-Feb-16,Indicative,04-Jan-18,-,-,-,-,-,-,-,-
3304,ULTRA TRADES & HOLDING CO. PRIVATE LIMITED,SMERA BB+/SMERA A4+,03-Feb-16,Indicative,04-Jan-18,-,-,-,-,-,-,-,-
3305,UMA FABRICS,SMERA B+,01-Apr-16,Indicative,18-Jul-17,-,-,-,-,-,-,-,-
3306,UMBERTO CERAMICS INTERNATIONAL PRIVATE LIMITED,SMERA B+/SMERA A4,09-Jan-17,SMERA BB/SMERA A4+,23-Mar-18,-,-,-,-,-,-,-,-
3307,UNION AGROTECH INDIA PRIVATE LIMITED,SMERA BB-,10-Nov-16,-,-,-,-,-,-,-,-,-,-
3308,UNION CHAINS & JEWELLERS PRIVATE LIMITED,SMERA BBB-,29-Dec-17,-,-,-,-,-,-,-,-,-,-
3309,UNION STEELS,SMERA B+,21-Apr-16,-,-,-,-,-,-,-,-,-,-
3310,UNIQUE DELTA FORCE SECURITY PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jul-17,-,-,-,-,-,-,-,-,-,-
3311,UNIQUE FUR N FABRICS PRIVATE LIMITED,SMERA BB,28-Oct-17,-,-,-,-,-,-,-,-,-,-
3312,UNIQUE WELDING PRODUCTS PRIVATE LIMITED,SMERA B+/SMERA A4,23-Sep-13,SMERA BB-/SMERA A4+,24-Sep-14,Suspended,23-Dec-15,-,-,-,-,-,-
3313,UNISON PHARMACEUTICALS,SMERA B+,26-Mar-14,Suspended,01-Jul-15,-,-,-,-,-,-,-,-
3314,UNITEC FIBRES PRIVATE LIMITED,SMERA BBB,12-May-17,-,-,-,-,-,-,-,-,-,-
3315,UNITECH HI TECH STRUCTURES LIMITED,SMERA BB,27-Jan-14,Withdrawn,29-Mar-16,-,-,-,-,-,-,-,-
3316,UNITECH INTERNATIONAL LIMITED,SMERA BB/SMERA A4+,12-Jan-18,-,-,-,-,-,-,-,-,-,-
3317,UNITED ENGINEERING INDUSTRIES PRIVATE LIMITED,SMERA B+/SMERA A4,29-Aug-17,-,-,-,-,-,-,-,-,-,-
3318,UNITED FORTUNE INTERNATIONAL PRIVATE LIMITED,SMERA BBB-,19-Jan-16,Indicative,16-May-17,-,-,-,-,-,-,-,-
3319,UNITED OVERSEAS FINANCE LIMITED,SMERA BB-,20-Feb-17,-,-,-,-,-,-,-,-,-,-
3320,UNITED POLYFAB GUJARAT LIMITED,SMERA BBB-/SMERA A3,02-Jan-18,-,-,-,-,-,-,-,-,-,-
3321,UNITED POLYFAB PRIVATE LIMITED,SMERA BBB-/SMERA A3,17-Nov-17,-,-,-,-,-,-,-,-,-,-
3322,UNITED RUBBER INDUSTRIES INDIA PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Oct-16,SMERA BBB/SMERA A3+,14-Dec-17,-,-,-,-,-,-,-,-
3323,UNITED TECHFAB PRIVATE LIMITED,SMERA BBB-/SMERA A3,17-Nov-17,-,-,-,-,-,-,-,-,-,-
3324,UNITED TELESERVICES LIMITED,SMERA A4+,18-Feb-17,-,-,-,-,-,-,-,-,-,-
3325,UNIVERSAL AGRO CHEMICAL INDUSTRIES,SMERA BB-,06-Mar-17,-,-,-,-,-,-,-,-,-,-
3326,UNIVERSAL CANCER HOSPITAL LIMITED,SMERA B/SMERA A4,08-Jul-15,Suspended,29-Sep-16,-,-,-,-,-,-,-,-
3327,"UNIVERSAL MULTI STATE CREDIT CO-OPERATIVE SOCIETYLIMITED",SMERA FBB-,23-Jul-15,SMERA FBB,12-Jul-16,Indicative,11-Jul-17,-,-,-,-,-,-
3328,"UNIVERSAL MULTI STATE CREDIT CO-OPERATIVE SOCIETYLIMITED",SMERA BB,12-Jul-16,Indicative,11-Jul-17,-,-,-,-,-,-,-,-
3329,UNIVERSAL YARNS & TEX PRIVATE LIMITED,SMERA B/SMERA A4,30-Dec-14,Suspended,10-Feb-16,-,-,-,-,-,-,-,-
3330,UNO MOULDS,SMERA B-,09-Sep-14,Suspended,23-Dec-15,-,-,-,-,-,-,-,-
3331,UPAL BUILDTECH PRIVATE LIMITED,SMERA D,25-Jun-14,Suspended,07-Oct-15,-,-,-,-,-,-,-,-
3332,UPPAL FERROCAST PRIVATE LIMITED,SMERA B/SMERA A4,03-Feb-17,-,-,-,-,-,-,-,-,-,-
3333,UPPER INDIA INORGANIC INDUSTRIES LIMITED,SMERA B+,31-Jul-17,-,-,-,-,-,-,-,-,-,-
3334,UPPER INDIA SMELTING AND REFINERY WORKS,SMERA BB-/SMERA A4+,03-Mar-17,-,-,-,-,-,-,-,-,-,-
3335,USM HEALTHCARE,SMERA B,20-Aug-15,Indicative,10-Feb-18,-,-,-,-,-,-,-,-
3336,UTKAL METALLICS LIMITED,SMERA B+/SMERA A4,06-Jul-15,Indicative,05-Jan-18,-,-,-,-,-,-,-,-
3337,UTTARANCHAL BIOTECH LIMITED,SMERA B+/SMERA A4,28-Mar-15,SMERA BB-/SMERA A4+,09-Aug-17,-,-,-,-,-,-,-,-
3338,V & V PHARMA INDUSTRIES,SMERA D,17-Nov-15,Indicative,23-Feb-17,-,-,-,-,-,-,-,-
3339,V ABINAYAA,SMERA C,28-Nov-14,Suspended,24-Feb-16,-,-,-,-,-,-,-,-
3340,V K DEVELOPERS,SMERA B,22-Sep-16,Indicative,30-Jan-18,-,-,-,-,-,-,-,-
3341,V K PACK WELL PRIVATE LIMITED,SMERA BB+/SMERA A4+,24-Mar-17,-,-,-,-,-,-,-,-,-,-
3342,V M VIJAYAKUMAR,SMERA B+,13-Aug-16,Indicative,10-Jan-18,SMERA B+,09-Mar-18,-,-,-,-,-,-
3343,V P BEDEKAR AND SONS PRIVATE LIMITED,SMERA B,13-May-17,-,-,-,-,-,-,-,-,-,-
3344,V P MUTHAIAH PILLAI MEENAKSHI AMMAL TRUST,SMERA BB,22-Dec-16,Indicative,06-Mar-18,-,-,-,-,-,-,-,-
3345,V R COATINGS PRIVATE LIMITED,SMERA BB/SMERA A4+,01-Sep-15,-,-,-,-,-,-,-,-,-,-
3346,V R CONSTRUCTIONS,SMERA BB-/SMERA A4+,25-Apr-16,Indicative,13-Oct-17,-,-,-,-,-,-,-,-
3347,V R NACHIMUTHU,SMERA B,19-Aug-16,Indicative,15-Dec-17,SMERA B+,16-Mar-18,-,-,-,-,-,-
3348,V RAM CHANDRA IRON & STEEL PRIVATE LIMITED,SMERA BB-/SMERA A4+,25-Nov-15,SMERA B+/SMERA A4,02-Mar-17,-,-,-,-,-,-,-,-
3349,V S INTERNATIONAL PRIVATE LIMITED,SMERA BBB-,15-Sep-14,Suspended,14-Dec-15,SMERA BB+,10-May-16,-,-,-,-,-,-
3350,V S SHAH & CO,SMERA C/SMERA A4,22-Jul-15,Suspended,27-May-16,-,-,-,-,-,-,-,-
3351,V THANGAVEL AND SONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,24-Nov-15,Indicative,15-Feb-17,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3352,VACC-SYN BIOTECH PRIVATE LIMITED,SMERA B,02-Nov-15,SMERA D,04-Apr-17,-,-,-,-,-,-,-,-
3353,VAGHANI INC,SMERA A4+,14-Jul-15,SMERA BB-,28-Aug-15,SMERA A4+,19-Jul-17,-,-,-,-,-,-
3354,VAHINI IRRIGATION PRIVATE LIMITED,SMERA B+/SMERA A4,29-Jan-15,Suspended,26-Apr-16,SMERA B+/SMERA A4,19-Oct-16,Indicative,12-Jan-18,-,-,-,-
3355,VAIBHAVLAXMI EXPORTS PRIVATE LIMITED,SMERA BBB,28-Feb-18,-,-,-,-,-,-,-,-,-,-
3356,VAIBHAVLAXMI SPINNING MILLS LIMITED,SMERA BBB/SMERA A3+,24-Feb-18,-,-,-,-,-,-,-,-,-,-
3357,VAIBHAVLAXMI SPINTEX LLP,SMERA BBB/SMERA A3+,28-Feb-18,-,-,-,-,-,-,-,-,-,-
3358,VAIBHAVRAJ ENTERPRISES,SMERA B,23-Nov-17,-,-,-,-,-,-,-,-,-,-
3359,VAIDYA INDUSTRIES,SMERA BB/SMERA A4+,26-Jul-17,SMERA BB+/SMERA A4+,23-Feb-18,-,-,-,-,-,-,-,-
3360,VAIDYA V AND I INFRASTRUCTURE PRIVATE LIMITED,SMERA BB,26-Jul-17,SMERA BB+/SMERA A4+,23-Feb-18,-,-,-,-,-,-,-,-
3361,VAIDYANATH SAHAKARI SAKHAR KARKHANA LIMITED,SMERA D,13-Dec-16,-,-,-,-,-,-,-,-,-,-
3362,VAINATEYA BUILD PRIVATE LIMITED,SMERA B,31-Aug-15,-,-,-,-,-,-,-,-,-,-
3363,VAISHALI EXPORTS,SMERA A4+,03-Apr-17,Indicative,26-Mar-18,-,-,-,-,-,-,-,-
3364,VAJRA RUBBER PRODUCTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Feb-18,-,-,-,-,-,-,-,-,-,-
3365,VALAR ADITI SOCIAL FINANCE PRIVATE LIMITED,SMERA BB-,02-Feb-18,-,-,-,-,-,-,-,-,-,-
3366,VALLABH STEEL LIMITED,SMERA BBB/SMERA A3+,15-Mar-16,SMERA BB+/SMERA A4+,10-Jul-17,-,-,-,-,-,-,-,-
3367,VALLABH TEXTILES COMPANY LIMITED,SMERA BBB-/SMERA A3,19-Oct-15,-,-,-,-,-,-,-,-,-,-
3368,VAL-MET ENGINEERING PRIVATE LIMITED,SMERA BB,25-Feb-16,Indicative,16-May-17,-,-,-,-,-,-,-,-
3369,VALSONS ENTERPRISES,SMERA B+/SMERA A4,10-Apr-14,Suspended,28-Jul-15,-,-,-,-,-,-,-,-
3370,VAM INFRASTRUCTURE PRIVATE LIMITED,SMERA B+/SMERA A4,26-Feb-16,-,-,-,-,-,-,-,-,-,-
3371,VAMSADHARA RICE INDUSTRIES,SMERA B+,07-Sep-15,Suspended,23-Nov-16,-,-,-,-,-,-,-,-
3372,VANDEMATRAM PROJECTS PRIVATE LIMITED,SMERA A4+,21-Jul-17,-,-,-,-,-,-,-,-,-,-
3373,VANTAGE ORGANIC FOODS PRIVATE LIMITED,SMERA BB+,20-Dec-17,-,-,-,-,-,-,-,-,-,-
3374,VAPI PIGMENTS PRIVATE LIMITED,SMERA B+/SMERA A4,27-Sep-16,Indicative,01-Nov-17,SMERA B+/SMERA A4,23-Feb-18,-,-,-,-,-,-
3375,VARAD FERTILISER PRIVATE LIMITED,SMERA BB,02-Jun-16,Indicative,22-Aug-17,-,-,-,-,-,-,-,-
3376,VARADHA STEELS PRIVATE LIMITED,SMERA D,20-Jan-14,Suspended,29-May-15,-,-,-,-,-,-,-,-
3377,VARDAAN EXPORTS,SMERA BB-/SMERA A4,25-May-16,SMERA D,26-Sep-17,-,-,-,-,-,-,-,-
3378,VARDHMAN CABLES AND CONDUCTORS,SMERA B+/SMERA A4,26-Aug-17,-,-,-,-,-,-,-,-,-,-
3379,VARDHMAN CARS PRIVATE LIMITED,SMERA B-,12-Dec-13,Withdrawn,24-Apr-15,-,-,-,-,-,-,-,-
3380,VARDHMAN EXPORTS,SMERA B+/SMERA A4,11-Mar-15,Suspended,20-May-16,-,-,-,-,-,-,-,-
3381,VARDHMAN INDUSTRIES LIMITED,SMERA BBB/SMERA A3+,21-Jan-16,SMERA D,30-Jun-17,-,-,-,-,-,-,-,-
3382,VARDHMAN JEWELLERS,SMERA B+,26-Feb-18,-,-,-,-,-,-,-,-,-,-
3383,VARDHMAN RICE AND GENERAL MILLS,SMERA B+,26-Apr-17,-,-,-,-,-,-,-,-,-,-
3384,VARDHMAN RICE EXPORTS PRIVATE LIMITED,SMERA B+,10-Oct-17,-,-,-,-,-,-,-,-,-,-
3385,VARDHMAN SALES AGENCY,SMERA BB/SMERA A4+,07-Mar-18,-,-,-,-,-,-,-,-,-,-
3386,VARDHMAN SPINNERS,SMERA BB-,08-Apr-17,-,-,-,-,-,-,-,-,-,-
3387,VARSHA FASHION LLP,SMERA BB+,24-Apr-17,-,-,-,-,-,-,-,-,-,-
3388,VARUN CASTINGS PRIVATE LIMITED,SMERA B+/SMERA A4,31-Jul-15,Suspended,29-Nov-16,-,-,-,-,-,-,-,-
3389,VARUN PIPING SYSTEMS,SMERA BB/SMERA A4+,29-Mar-18,-,-,-,-,-,-,-,-,-,-
3390,VASANI POLYMERS PRIVATE LIMITED,SMERA BB+,08-Jan-18,-,-,-,-,-,-,-,-,-,-
3391,VASANI WOOD WORKS,SMERA BB-,21-Apr-16,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
3392,VASANTHA ADVANCED SYSTEMS,SMERA BB-/SMERA A4,23-Jul-15,SMERA B+/SMERA A4,01-Dec-16,-,-,-,-,-,-,-,-
3393,VASCO ENVIRONMENTAL INDIA PRIVATE LIMITED,SMERA B+,27-Mar-17,-,-,-,-,-,-,-,-,-,-
3394,VASCON ENGINEERS LIMITED,SMERA BBB-/SMERA A3,30-Sep-17,-,-,-,-,-,-,-,-,-,-
3395,VASEEULLA MODERN RICE MILL(LLP),SMERA B+,31-Jul-17,-,-,-,-,-,-,-,-,-,-
3396,VASHISTH BUILDERS AND ENGINEERS LIMITED,SMERA BB/SMERA A4+,24-Jun-14,Suspended,30-Sep-15,-,-,-,-,-,-,-,-
3397,VASHISTH ESTATES LIMITED,SMERA BB-,03-Mar-15,Suspended,23-May-16,-,-,-,-,-,-,-,-
3398,VASHU YARN MILLS INDIA PRIVATE LIMITED,SMERA BB/SMERA A4+,02-May-16,"SMERA D(Indicative -Downgraded)",28-Sep-17,-,-,-,-,-,-,-,-
3399,VASISHTA PROJECTS,SMERA BB/SMERA A4+,25-Jul-16,Indicative,26-Oct-17,-,-,-,-,-,-,-,-
3400,VASU ENTERPRISES,SMERA B+/SMERA A4,14-Nov-13,SMERA BB-/SMERA A4,19-Dec-14,Suspended,18-Mar-16,-,-,-,-,-,-
3401,VASUNDHARA COTTON MILLS PRIVATE LIMITED,SMERA BBB-,14-Jun-17,-,-,-,-,-,-,-,-,-,-
3402,VBE PROJECTS PRIVATE LIMITED,SMERA B/SMERA A4,07-Mar-18,-,-,-,-,-,-,-,-,-,-
3403,VECTUS INDUSTRIES LIMITED,SMERA B-/SMERA A4,17-Jan-14,Suspended,05-Feb-15,-,-,-,-,-,-,-,-
3404,VED PRAKASH AND SONS LUMBERS PRIVATE LIMITED,SMERA BB-/SMERA A4,08-Mar-18,-,-,-,-,-,-,-,-,-,-
3405,VEDIKA CREDIT CAPITAL LIMITED,SMERA BB,22-May-15,Suspended,25-Jul-16,-,-,-,-,-,-,-,-
3406,VEDIKA METALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,25-Nov-16,Withdrawn,19-Mar-18,-,-,-,-,-,-,-,-
3407,VEE VEE CONTROLS PRIVATE LIMITED,SMERA BBB-/SMERA A3,02-Apr-15,Indicative,14-Jul-17,-,-,-,-,-,-,-,-
3408,VEEKAY PLAST,SMERA BB-/SMERA A4,01-Feb-17,-,-,-,-,-,-,-,-,-,-
3409,VEETEEJAY MOTORS PRIVATE LIMITED,SMERA B+,26-Aug-13,Suspended,29-Dec-14,-,-,-,-,-,-,-,-
3410,VEL STEEL TUBES & ENGINEERING PRIVATE LIMITED,SMERA B+,23-Jun-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
3411,VELAN KRAFT HOUSE PRIVATE LIMITED,SMERA BBB-,28-Jun-17,-,-,-,-,-,-,-,-,-,-
3412,VENKATA SAI AERATED BRICKS PRIVATE LIMITED,SMERA B/SMERA A4,29-Jun-15,Suspended,27-Jun-16,-,-,-,-,-,-,-,-
3413,VENKATESHWARA SPONGE & IRON CO PRIVATE LIMITED,SMERA B/SMERA A4,03-Sep-15,Indicative,06-Mar-18,-,-,-,-,-,-,-,-
3414,VENKATESHWARA WOOD AND MANUFACTURING INDUSTRIES,SMERA B+/SMERA A4,09-Mar-18,-,-,-,-,-,-,-,-,-,-
3415,VENKATESWARA STEELS & SPRINGS INDIA PRIVATE LIMITED,SMERA BBB-/SMERA A3,22-Jun-15,-,-,-,-,-,-,-,-,-,-
3416,VENUS INDIA,SMERA BB/SMERA A4+,27-Nov-14,Suspended,26-Feb-16,-,-,-,-,-,-,-,-
3417,VENUS INDUSTRIAL CORPORATION PRIVATE LIMITED,SMERA B+/SMERA A4,30-Nov-15,SMERA BB-/SMERA A4,05-Dec-16,-,-,-,-,-,-,-,-
3418,VENUS INDUSTRIES,SMERA BB,10-Jan-18,-,-,-,-,-,-,-,-,-,-
3419,VENUS STAMPINGS PRIVATE LIMITED,SMERA BBB-/SMERA A3,23-Nov-15,SMERA BBB-/SMERA A3+,23-Jan-17,-,-,-,-,-,-,-,-
3420,VERITEK ENGINEERING PRIVATE LIMITED,SMERA B+,20-Nov-14,Suspended,19-Feb-16,-,-,-,-,-,-,-,-
3421,VERSATILE GLASS SOLUTION LLP,SMERA B+/SMERA A4,28-Mar-18,-,-,-,-,-,-,-,-,-,-
3422,VERVE CEMENT ADDITIVES PRIVATE LIMITED,SMERA C,24-Mar-14,Suspended,08-Jul-15,-,-,-,-,-,-,-,-
3423,VFP BOX PRIVATE LIMITED,SMERA B-,18-May-17,-,-,-,-,-,-,-,-,-,-
3424,VHS MECHTRONICS SERVICES PRIVATE LIMITED,SMERA D,24-Jun-15,Indicative,11-Jan-18,-,-,-,-,-,-,-,-
3425,VIBGYOR PAINTS AND CHEMICALS PONDICHERRY,SMERA B+,18-May-16,Indicative,18-Aug-17,-,-,-,-,-,-,-,-
3426,VIBRANT COTFAB PRIVATE LIMITED,SMERA B,23-May-17,-,-,-,-,-,-,-,-,-,-
3427,VIBRANT POLYMERS LLP,SMERA B,25-Feb-17,-,-,-,-,-,-,-,-,-,-
3428,VIBRANT PROCESSORS PRIVATE LIMITED,SMERA B/SMERA A4,11-Jul-14,Suspended,16-Sep-15,-,-,-,-,-,-,-,-
3429,VICHI AGRITECH LLP,SMERA B,29-Dec-17,-,-,-,-,-,-,-,-,-,-
3430,VICHITRA PRESTRESSED CONCRETE UDYOG PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-Dec-17,-,-,-,-,-,-,-,-,-,-
3431,VICKY SPINNING MILLS,SMERA BBB-,25-Feb-17,-,-,-,-,-,-,-,-,-,-
3432,VICTOR AGENCIES,SMERA BB/SMERA A4+,08-Dec-17,-,-,-,-,-,-,-,-,-,-
3433,VICTUS DYEINGS,SMERA BBB-/SMERA A3,24-Aug-16,Indicative,10-Jan-18,-,-,-,-,-,-,-,-
3434,VIDALI ENTERPRISES,SMERA B,14-Mar-18,-,-,-,-,-,-,-,-,-,-
3435,VIDHATA INDUSTRIES PRIVATE LIMITED,SMERA BB-,01-Jun-15,Suspended,12-Aug-16,-,-,-,-,-,-,-,-
3436,VIDHATA METAL PRIVATE LIMITED,SMERA D,17-Apr-15,Indicative,13-Sep-17,-,-,-,-,-,-,-,-
3437,VIDYA NETHRRA EDUCATIONAL TRUST,SMERA D,07-Mar-18,-,-,-,-,-,-,-,-,-,-
3438,VIGYAN CHEMICALS PRIVATE LIMITED,SMERA B+/SMERA A4,09-Sep-14,SMERA BB-/SMERA A4+,16-Dec-15,"SMERA C/SMERA A4(Indicative-Downgraded)",31-Mar-17,-,-,-,-,-,-
3439,VIJ ENGINEERS & CONSULTANT PRIVATE LIMITED,SMERA B+/SMERA A4,15-Jun-16,Indicative,11-Sep-17,-,-,-,-,-,-,-,-
3440,VIJAN HOTELS PRIVATE LIMITED,SMERA B,11-Apr-14,Suspended,20-Jul-15,-,-,-,-,-,-,-,-
3441,VIJAY SHREE TRADERS,SMERA B-,10-Feb-14,SMERA B,27-Mar-15,Indicative,19-Sep-17,-,-,-,-,-,-
3442,VIJAY STEELS N FORGINGS,SMERA B-/SMERA A4,07-Oct-14,Suspended,13-Jan-16,-,-,-,-,-,-,-,-
3443,VIJAYA POLYMERS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Apr-17,-,-,-,-,-,-,-,-,-,-
3444,VIJAYA SARADA DELINT SEED MILLS,SMERA BB-,02-Feb-17,-,-,-,-,-,-,-,-,-,-
3445,VIJAYALAKSHMI SILKS,SMERA BB,28-Oct-16,-,-,-,-,-,-,-,-,-,-
3446,VIJETA BEVERAGES PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Jan-17,-,-,-,-,-,-,-,-,-,-
3447,VIKAS CHEMI GUMS INDIA LIMITED,SMERA B-,03-Sep-14,Suspended,14-Dec-15,-,-,-,-,-,-,-,-
3448,VIKAS FABRIC FINERS,SMERA BB-/SMERA A4,29-Jun-17,-,-,-,-,-,-,-,-,-,-
3449,VIKI INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4,25-Jun-15,Suspended,29-Jul-16,-,-,-,-,-,-,-,-
3450,VIKRAM INDIA LIMITED,SMERA BB/SMERA A4+,18-Jul-16,Indicative,09-Oct-17,Withdrawn,24-Mar-18,-,-,-,-,-,-
3451,VIKRAM PRIVATE LIMITED,SMERA BB+/SMERA A4+,04-Nov-15,Suspended,27-Oct-16,-,-,-,-,-,-,-,-
3452,VIKRMA IMPEX PRIVATE LIMITED,SMERA BBB-/SMERA A3,04-Apr-17,-,-,-,-,-,-,-,-,-,-
3453,VIL INTERNATIONAL PRIVATE LIMITED,SMERA C/SMERA A4,31-Oct-17,-,-,-,-,-,-,-,-,-,-
3454,VIMAL ENTERPRISES,SMERA B+/SMERA A4,24-Feb-17,-,-,-,-,-,-,-,-,-,-
3455,VIMAL PLASTICS,SMERA BBB-,02-Dec-13,Withdrawn,10-Sep-16,SMERA BBB-,29-May-17,-,-,-,-,-,-
3456,VIMAL PLATNIUM PRIVATE LIMITED,SMERA BB-,12-Jan-18,-,-,-,-,-,-,-,-,-,-
3457,VINAYAK CARS PRIVATE LIMITED,SMERA B+/SMERA A4,02-Apr-14,SMERA BB-/SMERA A4+,24-Jul-15,Indicative,27-Apr-17,-,-,-,-,-,-
3458,VINAYAK COTTEX PRIVATE LIMITED,SMERA D,18-Apr-16,Indicative,18-Sep-17,-,-,-,-,-,-,-,-
3459,VINAYAK GINNING PRESSING PRIVATE LIMITED,SMERA D,18-Apr-16,Indicative,12-Jun-17,-,-,-,-,-,-,-,-
