Sl. No.,Name of the Issuer,Initial Rating,"Date of Initial Rating",Rating after 1st revision,Date of 1st revision,"Rating after 2nd revision","Date of 2nd revision","Rating after 3rd revision","Date of 3rd revision","Rating after 4th revision","Date of 4th revision","Rating after 5th revision","Date of 5th revision","Rating after 6th revision","Date of 6th revision","Rating after 7th revision","Date of 7th revision","Rating after 8th revision",Date of 8th revision,"Rating after 9th revision","Date of 9th revision","Rating after 10th revision","Date of 10th revision","Rating after 11th revision","Date of 11th revision","Rating after 12th revision","Date of 12th revision","Rating after 13th revision","Date of 13th revision","Rating after 14th revision",Date of 14th revision,"Rating after 15th revision","Date of 15th revision","Rating after 16th revision","Date of 16th revision","Rating after 17th revision","Date of 17th revision","Rating after 18th revision",Date of 18th revision,"Rating after 19th revision","Date of 19th revision","Rating after 20th revision","Date of 20th revision","Rating after 21st revision",Date of 21st revision,"Rating after 22nd revision","Date of 22nd revision","Ratings Outstanding as on 31-March- 2018","Rating Date Outstanding as on 31-March-2018"
3332,Gupta Steel (Ship Breakers),BWR BBB-,02-Sep-15,NOT REVIEWED,04-Jan-17,,,,,,,,,,,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,Gupta Steel (Ship Breakers),BWR A3,02-Sep-15,NOT REVIEWED,04-Jan-17,,,,,,,,,,,NOT REVIEWED,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,Gupta Syntex Pvt. Ltd.,BWR BB -,07-Mar-18,,,,,,,,,,,,,BWR BB -,07-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,Gupta Trading Company,BWR B,17-Oct-14,BWR B,22-Dec-15,NOT REVIEWED,16-Mar-17,BWR C,27-Mar-18,,,,,,,BWR C,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,Gurbachan Singh Contractor,BWR BB -,23-Nov-17,,,,,,,,,,,,,BWR BB -,23-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,Gurdas Agro Pvt. Ltd.,BWR A4,23-Dec-13,BWR A4+,02-Nov-16,BWR A3,14-Jun-17,,,,,,,,,BWR A3,14-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,Gurdas Exports,BWR BBB -,15-Jun-17,,,,,,,,,,,,,BWR BBB -,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,Gurdas Exports,BWR A3,15-Jun-17,,,,,,,,,,,,,BWR A3,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,Gurdaspur Solvex Pvt. Ltd,BWR B,05-Jul-17,,,,,,,,,,,,,BWR B,05-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,Guru Gobind Foods & Agro Pvt. Ltd.,BWR B+,12-Sep-16,BWR B,22-Dec-17,,,,,,,,,,,BWR B,22-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,Guru Kirpa Agro Industries,BWR B,09-Jan-15,NOT REVIEWED,31-Dec-16,BWR B -,21-Dec-17,,,,,,,,,BWR B -,21-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,Guru Kirpa Rice Mills,BWR B +,14-Aug-17,,,,,,,,,,,,,BWR B +,14-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344,Guru Nanak Agro Industries,BWR B +,25-Jan-18,,,,,,,,,,,,,BWR B +,25-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,Guru Nanak Rice Mills,BWR B,31-Mar-17,,,,,,,,,,,,,BWR B,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,Guru Ragavendra Textiles,BWR BB-,07-Dec-16,,,,,,,,,,,,,BWR BB-,07-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,Guru Ramdas Ji Stone Crusher,BWR B +,08-Dec-17,,,,,,,,,,,,,BWR B +,08-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3348,Guru Sai Agro Industries,BWR B,31-Mar-15,BWR B,24-Mar-16,BWR B,19-May-17,,,,,,,,,BWR B,19-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,Gurudev Overseas Limited,BWR BB-,12-Sep-13,NOT REVIEWED,27-Apr-15,BWR B +,29-Aug-17,,,,,,,,,BWR B +,29-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,Gurudev Overseas Limited,BWR A4,12-Sep-13,NOT REVIEWED,27-Apr-15,BWR A4,29-Aug-17,,,,,,,,,BWR A4,29-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,Gurukripa Conveyors,BWR B,12-Jan-18,,,,,,,,,,,,,BWR B,12-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3352,Gurukripa Conveyors,BWR A4,12-Jan-18,,,,,,,,,,,,,BWR A4,12-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,Gurukripa Wovensack Private Limited,BWR B+,17-Mar-17,,,,,,,,,,,,,BWR B+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,Gurukul Foundation,BWR B +,27-Feb-18,,,,,,,,,,,,,BWR B +,27-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3355,Gurvinder Singh,BWR B+,15-Feb-17,,,,,,,,,,,,,BWR B+,15-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,Gurvinder Singh,BWR A4,15-Feb-17,,,,,,,,,,,,,BWR A4,15-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3357,Guttur Solar Power LLP,BWR BB-,29-Apr-16,BWR B +,23-Oct-17,,,,,,,,,,,BWR B +,23-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,GV Audio Visionn Private Limited,BWR B+,29-Jan-13,BWR B+,04-Apr-14,BWR B+,25-Apr-16,NOT REVIEWED,31-Aug-17,BWR D,09-Mar-18,,,,,BWR D,09-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,GV Sutaria Construction,BWR BB +,23-Mar-18,,,,,,,,,,,,,BWR BB +,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,GV Sutaria Construction,BWR A4 +,23-Mar-18,,,,,,,,,,,,,BWR A4 +,23-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,GVPR Engineers Limited,BWR BBB+,23-Jan-13,NOT REVIEWED,23-Dec-16,,,,,,,,,,,NOT REVIEWED,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,GVPR Engineers Limited,BWR A3+,23-Jan-13,NOT REVIEWED,23-Dec-16,,,,,,,,,,,NOT REVIEWED,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,GVR Infra Projects Limited,BWR A-,03-Apr-14,BWR A-,07-Jan-15,BWR A-,25-Sep-15,BWR BBB+,25-Nov-16,BWR BB,21-Mar-17,BWR B,27-Apr-17,BWR C,27-Jun-17,BWR C,27-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,GVR Infra Projects Limited,BWR A2+,03-Apr-14,BWR A2+,07-Jan-15,BWR A2+,25-Sep-15,BWR A3,25-Nov-16,BWR A4,21-Mar-17,BWR A4,27-Apr-17,BWR A4,27-Jun-17,BWR A4,27-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,GVR Infra Projects Limited,BWR A-,30-Jul-14,BWR A-,25-Sep-15,BWR BBB+,25-Nov-16,BWR BB,21-Mar-17,BWR B,27-Apr-17,BWR D,27-Jun-17,,,BWR D,27-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,GVR Infra Projects Limited,BWR B-,27-Apr-17,BWR C,27-Jun-17,,,,,,,,,,,BWR C,27-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,GVRMP Whagdhari Ribbanpally Tollway Pvt. Ltd.,BWR BBB,17-Oct-14,BWR BBB (SO),19-Oct-15,BWR BBB- (SO),25-Nov-16,BWR BB,19-Sep-17,,,,,,,BWR BB,19-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,Gyan Cirkitronics Pvt. Ltd,BWR B,24-May-16,BWR C +,13-Nov-17,,,,,,,,,,,BWR C +,13-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,Gyan Cirkitronics Pvt. Ltd,BWR A4,24-May-16,BWR A4,13-Nov-17,,,,,,,,,,,BWR A4,13-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,Gyan Jyoti Education Foundation,BWR BBB,03-Feb-16,BWR BBB,10-Jul-17,,,,,,,,,,,BWR BBB,10-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,Gyan Mandir Foundation,BWR BBB-,29-Nov-16,BWR BBB -,21-Mar-18,,,,,,,,,,,BWR BBB -,21-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,H Bheda & Co,BWR BB,03-Jan-14,NOT REVIEWED,14-Apr-15,,,,,,,,,,,NOT REVIEWED,14-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,H Bheda & Co,BWR A4+,03-Jan-14,NOT REVIEWED,14-Apr-15,,,,,,,,,,,NOT REVIEWED,14-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,H Gangaram Cloth Merchants Limited,BWR BB+,15-Mar-13,Rating Suspended,28-Aug-14,BWR B,31-Mar-16,BWR B -,30-Jun-17,,,,,,,BWR B -,30-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,H Jayesh Exports,BWR A4+,30-Jan-15,BWR A4,16-Jun-16,BWR A4,06-Nov-17,,,,,,,,,BWR A4,06-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,H Narayanappa,BWR A4,10-Feb-15,NOT REVIEWED,16-Dec-16,,,,,,,,,,,NOT REVIEWED,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,H Narayanappa,BWR B+,10-Feb-15,NOT REVIEWED,16-Dec-16,,,,,,,,,,,NOT REVIEWED,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,H. B. Metals.,BWR BB,04-Jul-13,NOT REVIEWED,29-Dec-16,BWR BB -,27-Mar-18,,,,,,,,,BWR BB -,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,H. B. Metals.,BWR A4,04-Jul-13,NOT REVIEWED,29-Dec-16,BWR A4,27-Mar-18,,,,,,,,,BWR A4,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,H. K. Ispat Pvt. Ltd.,BWR BB-,09-Sep-14,,,,,,,,,,,,,BWR BB-,09-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,H. K. Ispat Pvt. Ltd.,BWR A4,09-Sep-14,,,,,,,,,,,,,BWR A4,09-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,H. P. Builders Pvt. Ltd.,BWR B+,09-Jul-14,BWR B+,13-Nov-15,BWR B,16-Feb-17,,,,,,,,,BWR B,16-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,H. P. Builders Pvt. Ltd.,BWR A4,09-Jul-14,BWR  A4,13-Nov-15,BWR A4,16-Feb-17,,,,,,,,,BWR A4,16-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,H.S India Ltd.,BWR BB,10-Aug-15,BWR BB,04-Jan-17,,,,,,,,,,,BWR BB,04-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,H2 Apparels Pvt. Ltd.,BWR BB,13-Jan-15,NOT REVIEWED,20-Dec-16,BWR B -,26-Mar-18,,,,,,,,,BWR B -,26-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,Habitech Infrastructure Limited,BWR B,12-May-17,,,,,,,,,,,,,BWR B,12-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,Hadoti Rice Mill,BWR B,24-Apr-17,,,,,,,,,,,,,BWR B,24-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,Haji Sheik Ismail Educational and Charitable Trust,BWR B,07-May-15,,,,,,,,,,,,,BWR B,07-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,HAL Offshore Ltd,BWR BBB-,14-Mar-14,BWR BBB-,06-Aug-15,NOT REVIEWED,28-Dec-16,BWR BBB -,10-Jan-18,,,,,,,BWR BBB -,10-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,HAL Offshore Ltd,BWR A3,14-Mar-14,BWR A3,06-Aug-15,NOT REVIEWED,28-Dec-16,BWR A3,10-Jan-18,,,,,,,BWR A3,10-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,Haldia Coke & Chemicals Pvt. Ltd.,BWR B+,11-Dec-13,BWR D,08-Feb-16,BWR D,30-Oct-17,,,,,,,,,BWR D,30-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,Haldia Coke & Chemicals Pvt. Ltd.,BWR A4,11-Dec-13,BWR D,08-Feb-16,BWR D,30-Oct-17,,,,,,,,,BWR D,30-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,Haldia Steels Ltd.,BWR BB-,08-Nov-13,BWR BB+,06-Feb-15,BWR BB,29-Apr-16,NOT REVIEWED,14-Aug-17,,,,,,,NOT REVIEWED,14-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,Haldia Steels Ltd.,BWR A4,08-Nov-13,BWR A4,06-Feb-15,BWR A4,29-Apr-16,NOT REVIEWED,14-Aug-17,,,,,,,NOT REVIEWED,14-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,Halonix Technologies Ltd.,BWR BB+,27-Dec-13,BWR BBB-,27-Jun-14,BWR BBB,09-Sep-15,NOT REVIEWED,23-Mar-17,,,,,,,NOT REVIEWED,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,Halonix Technologies Ltd.,BWR A4,27-Dec-13,BWR A3,27-Jun-14,BWR A3,09-Sep-15,NOT REVIEWED,23-Mar-17,,,,,,,NOT REVIEWED,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,Handicraft Nation,BWR B +,01-Feb-18,,,,,,,,,,,,,BWR B +,01-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,Handloom Bhandar,BWR B,29-Dec-17,,,,,,,,,,,,,BWR B,29-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,Handloom Bhandar,BWR A4,29-Dec-17,,,,,,,,,,,,,BWR A4,29-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,Hansa Metallics Ltd,BWR BB+,20-Oct-16,BWR BB +,26-Dec-17,,,,,,,,,,,BWR BB +,26-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,Hansa Metallics Ltd,BWR A4+,20-Oct-16,BWR A4 +,26-Dec-17,,,,,,,,,,,BWR A4 +,26-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,Hanuman Rice and General Mills,BWR BB -,16-Nov-17,,,,,,,,,,,,,BWR BB -,16-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,Hanuman Rice and General Mills,BWR BB -,16-Nov-17,,,,,,,,,,,,,BWR BB -,16-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,Hanuman Trading Company,BWR B,20-Jan-17,BWR B +,13-Mar-18,,,,,,,,,,,BWR B +,13-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,Hanumant Foundation,BWR BBB-,31-Mar-17,,,,,,,,,,,,,BWR BBB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,Hanwant Fastners Pvt Ltd,BWR B +,07-Feb-18,,,,,,,,,,,,,BWR B +,07-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,Happy Home Corporation,BWR BBB,28-Mar-18,,,,,,,,,,,,,BWR BBB,28-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,Hardrock Attachments Pvt. Ltd.,BWR B+,25-Apr-14,BWR B,30-Dec-16,NOT REVIEWED,30-Dec-16,BWR D,20-Mar-18,,,,,,,BWR D,20-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,Hardrock Attachments Pvt. Ltd.,BWR A4,25-Apr-14,NOT REVIEWED,30-Dec-16,BWR D,20-Mar-18,,,,,,,,,BWR D,20-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,Hari Equipments Pvt Ltd,BWR BB-,29-Aug-16,BWR B +,23-Nov-17,,,,,,,,,,,BWR B +,23-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,Hari Equipments Pvt Ltd,BWR A4,29-Aug-16,BWR A4,23-Nov-17,,,,,,,,,,,,,,,BWR A4,23-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,Hari Narayan Khandelwal,BWR BB-,15-May-17,,,,,,,,,,,,,,,,,BWR BB-,15-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,Hari Narayan Khandelwal,BWR A4+,15-May-17,,,,,,,,,,,,,,,,,BWR A4+,15-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,Hari Om Cold Storage,BWR B,21-Mar-18,,,,,,,,,,,,,,,,,BWR B,21-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,Hari Om Traders,BWR B+,29-May-13,Rating Suspended,21-Jul-14,,,,,,,,,,,,,,,Rating Suspended,21-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,Haridaspur Paradip Railway Company Ltd.,BWR BBB+,12-May-15,BWR BBB+,17-May-16,BWR BBB +,23-Jun-17,,,,,,,,,,,,,BWR BBB +,23-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,Hariom Concast & Steels Pvt. Ltd.,BWR BB+,09-Jun-16,,,,,,,,,,,,,,,,,BWR BB+,09-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,Hariom Concast & Steels Pvt. Ltd.,BWR BB+,26-Feb-15,BWR BB+,09-Jun-16,BWR BB -,31-Aug-17,,,,,,,,,,,,,BWR BB -,31-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,Hariom Concast & Steels Pvt. Ltd.,BWR A4+,26-Feb-15,BWR A4+,09-Jun-16,BWR A4,31-Aug-17,,,,,,,,,,,,,BWR A4,31-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,HariOm enterprises.,BWR BB-,12-Feb-14,BWR BB-,08-Apr-14,BWR BB,20-Oct-15,BWR BB-,16-Mar-17,BWR BB +,14-Sep-17,,,,,,,,,BWR BB +,14-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,Hariom Industries,BWR B+,06-Feb-17,,,,,,,,,,,,,,,,,BWR B+,06-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,Hariom Polypacks Ltd.,BWR BB+,22-Feb-16,NOT REVIEWED,15-Jun-17,,,,,,,,,,,,,,,NOT REVIEWED,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,Hariom Polypacks Ltd.,BWR A4+,22-Feb-16,NOT REVIEWED,15-Jun-17,,,,,,,,,,,,,,,NOT REVIEWED,15-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,Haripur Kraft Company,BWR BB-,23-Jul-13,BWR BB,01-Jun-15,BWR C,19-Sep-16,BWR BB,18-Jan-18,,,,,,,,,,,BWR BB,18-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,Haripur Kraft Company,BWR A4,23-Jul-13,BWR A4,01-Jun-15,BWR A4,19-Sep-16,BWR A4,18-Jan-18,,,,,,,,,,,BWR A4,18-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,Haripur Paper Company,BWR B+,22-Aug-13,BWR B+,17-Dec-15,BWR BB-,12-Oct-16,BWR BB -,01-Feb-18,,,,,,,,,,,BWR BB -,01-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,Haripur Paper Company,BWR A4,22-Aug-13,BWR A4,17-Dec-15,BWR A4,12-Oct-16,BWR A4,01-Feb-18,,,,,,,,,,,BWR A4,01-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,Haris Marine Products,BWR BB,29-Jun-17,,,,,,,,,,,,,,,,,BWR BB,29-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,Harit Transformers Private Limited,BWR B,23-Jan-14,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,Harit Transformers Private Limited,BWR A4,23-Jan-14,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,NOT REVIEWED,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,Harita NTI Ltd,BWR BBB-,25-Jun-12,BWR BBB-,23-Sep-13,BWR BBB-,26-Nov-14,BWR BBB-,18-Feb-16,BWR BBB,26-Apr-17,,,,,,,,,BWR BBB,26-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,Harita NTI Ltd,BWR A3,25-Jun-12,BWR A3,23-Sep-13,BWR A3,26-Nov-14,BWR A3,18-Feb-16,BWR A3+,26-Apr-17,,,,,,,,,BWR A3+,26-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,Hariyappa Bukkappa Granaries Pvt Ltd,BWR BB-,01-Jun-17,,,,,,,,,,,,,,,,,BWR BB-,01-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,Harra Polyflex Pvt. Ltd.,BWR B+,25-Sep-14,BWR B+,03-Feb-16,,,,,,,,,,,,,,,BWR B+,03-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,Harra Polyflex Pvt. Ltd.,BWR A4,25-Sep-14,BWR A4,03-Feb-16,,,,,,,,,,,,,,,BWR A4,03-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,Harsh Macro Buildhome Pvt Ltd,BWR BB,21-Feb-17,,,,,,,,,,,,,,,,,BWR BB,21-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,Harshna Fruits,BWR B +,16-Nov-17,,,,,,,,,,,,,,,,,BWR B +,16-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,Harshna Ice & Cold Storage Pvt Ltd,BWR B,21-Nov-17,,,,,,,,,,,,,,,,,BWR B,21-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,Harwin Agro Enterprise Pvt. Ltd.,BWR BB-,11-Sep-13,BWR B+,18-Mar-17,,,,,,,,,,,,,,,BWR B+,18-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,Haryana Food & General Mills,BWR B-,19-Mar-14,BWR B,05-Oct-15,NOT REVIEWED,31-Jan-17,BWR B,11-Apr-17,BWR B,18-Dec-17,,,,,,,,,BWR B,18-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,Haryana Power Generation Corporation Limited,BWR BB+,19-Sep-13,BWR BBB-,20-Dec-13,BWR BBB+,20-Nov-14,BWR A-,01-Dec-15,BWR A-,09-Nov-16,,,,,,,,,BWR A-,09-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,Haryana Vidyut Prasaran Nigam Limited,Provisional BWR A (SO,13-Apr-12,BWR A(SO),09-May-12,BWR A(SO),24-Sep-12,BWR A(SO),02-Dec-13,BWR A (SO),08-Dec-14,BWR  A (SO),13-Jan-16,BWR A(SO),06-Mar-17,BWR A (SO),27-Jul-17,,,BWR A (SO),27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,Haryana Vidyut Prasaran Nigam Limited,BWR A(SO),24-Sep-12,BWR A(SO),02-Dec-13,BWR A(SO),08-Dec-14,BWR  A (SO),13-Jan-16,BWR A(SO),06-Mar-17,BWR A (SO),27-Jul-17,,,,,,,BWR A (SO),27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,Hasham Investment & Trading Company Pvt Ltd,BWR AAA (SO),06-Apr-16,BWR AAA(SO),09-Jun-17,,,,,,,,,,,,,,,BWR AAA(SO),09-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,Hasham Investment & Trading Company Pvt Ltd,BWR A1 +,08-Dec-17,,,,,,,,,,,,,,,,,BWR A1 +,08-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,Hasham Traders,BWR AAA,24-Nov-17,,,,,,,,,,,,,,,,,BWR AAA,24-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,Hasham Traders,BWR A1 +,24-Nov-17,,,,,,,,,,,,,,,,,BWR A1 +,24-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,Hasti Petro Chemical & Shipping Ltd.,BWR BB,31-Mar-17,,,,,,,,,,,,,,,,,BWR BB,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,Hasti Petro Chemical & Shipping Ltd.,BWR A4,31-Mar-17,,,,,,,,,,,,,,,,,BWR A4,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,Haveli Restaurants and Resorts Limited,BWR BB-,25-Mar-17,,,,,,,,,,,,,,,,,BWR BB-,25-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,Havukal Tea & Produce Company Pvt. Ltd.,BWR BB-,21-May-15,NOT REVIEWED,22-Dec-16,,,,,,,,,,,,,,,NOT REVIEWED,22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,Haware Engineering & Builders Pvt. Ltd.,BWR BBB-,02-Dec-13,BWR BBB-,23-Jul-15,NOT REVIEWED,04-Oct-16,,,,,,,,,,,,,NOT REVIEWED,04-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,Haware Infotech Ltd,BWR B,24-May-16,BWR D,31-Mar-17,,,,,,,,,,,,,,,BWR D,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,Hayagreeva Educational and Charitable Trust,BWR B,28-Jul-14,BWR BB-,23-Nov-15,BWR B+,20-Apr-17,,,,,,,,,,,,,BWR B+,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,Hayat Hospital Pvt. Ltd.,BWR B,29-Feb-16,NOT REVIEWED,15-Jun-17,BWR B,05-Sep-17,,,,,,,,,,,,,BWR B,05-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
